QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,OTHLNDRX,OTHL_DRX,OTHDCLNX,OTHD_LNX,SAFDPSTX,SAFD_STX,TXLIMX,TXLIMX_,JLDRYNET,JLDR_NET,JDRYCNET,JDRY_NET,JBNKSCQV,JBNK_CQV,SALONX,SALONX_,JSUBSIDY,JSUB_IDY,WIGSX,WIGSX_,JAMTRAKX,JAMT_AKX,JTRANQV,JTRANQV_,LIMO,LIMO_
20181,03640054,66,0,1,,A,,A,,A,,A,,A,,A,,A,200,D,,A,,A,,A,,A,,A
20181,03640064,28,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640104,28,0,1,,A,,A,,A,,A,,A,,A,,A,40,D,,A,,A,,A,,A,,A
20181,03640114,47,0,1,,A,,A,,A,,A,,A,,A,,A,15,D,,A,,A,,A,,A,,A
20181,03640134,43,0,1,,A,,A,,A,,A,,A,,A,,A,35,D,,A,,A,,A,,A,,A
20181,03640174,38,0,1,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,,A,,A
20181,03640184,45,0,1,,A,,A,,A,,A,,A,,A,,A,40,D,,A,,A,,A,,A,,A
20181,03640214,76,0,1,,A,,A,,A,,A,,A,,A,,A,130,D,,A,,A,,A,,A,,A
20181,03640264,24,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640284,16,0,1,37,D,,A,,A,,A,95,D,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640304,46,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20181,03640344,27,0,1,,A,,A,,A,,A,,A,,A,,A,150,D,,A,,A,,A,,A,,A
20181,03640364,31,0,1,,A,,A,,A,,A,,A,,A,,A,255,D,,A,,A,,A,,A,,A
20181,03640374,30,0,1,,A,,A,,A,,A,,A,,A,,A,80,D,,A,,A,,A,,A,,A
20181,03640394,12,0,1,50,D,,A,,A,,A,50,D,,A,,A,,A,,A,,A,,A,21,D,,A
20181,03640414,40,0,1,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,,A,,A
20181,03640424,8,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640434,37,0,1,,A,,A,,A,,A,,A,,A,,A,20,D,,A,,A,,A,234,D,,A
20181,03640454,40,0,1,,A,,A,,A,,A,,A,,A,,A,390,D,,A,,A,,A,30,D,,A
20181,03640484,40,0,1,,A,,A,,A,,A,,A,,A,,A,45,D,,A,,A,,A,,A,,A
20181,03640494,24,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640504,13,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640514,29,0,1,,A,,A,,A,,A,,A,20,D,,A,80,D,,A,,A,,A,,A,,A
20181,03640524,22,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640534,37,0,1,,A,,A,,A,,A,,A,,A,,A,70,D,,A,,A,,A,,A,,A
20181,03640574,18,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640614,26,0,1,,A,,A,,A,,A,,A,,A,,A,35,D,,A,,A,,A,,A,,A
20181,03640634,49,0,1,,A,,A,,A,,A,,A,,A,,A,65,D,,A,,A,,A,,A,,A
20181,03640664,42,0,1,,A,,A,,A,,A,,A,,A,,A,45,D,,A,,A,,A,,A,,A
20181,03640684,10,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640704,25,0,1,,A,,A,,A,,A,,A,,A,,A,85,D,,A,,A,,A,,A,,A
20181,03640744,105,0,1,,A,,A,,A,,A,,A,12,D,84,D,,A,,A,,A,,A,,A,,A
20181,03640764,39,0,1,,A,,A,,A,,A,,A,,A,,A,15,D,,A,,A,,A,,A,,A
20181,03640774,34,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,80,0,1,,A,,A,,A,,A,,A,,A,,A,125,D,,A,,A,,A,,A,,A
20181,03640804,30,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A,,A,,A,,A,,A
20181,03640814,49,0,1,,A,,A,,A,,A,,A,,A,,A,336,D,,A,,A,,A,,A,,A
20181,03640834,43,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640844,38,0,1,,A,,A,,A,,A,,A,15,D,,A,270,D,,A,,A,,A,,A,,A
20181,03640854,32,0,1,,A,,A,,A,,A,,A,,A,,A,340,F,,A,,A,,A,,A,,A
20181,03640874,108,0,1,,A,,A,,A,,A,,A,,A,,A,129,D,,A,,A,,A,,A,,A
20181,03640904,33,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,182,D,,A
20181,03640994,46,0,1,,A,,A,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641034,33,0,1,,A,,A,,A,,A,,A,,A,,A,110,D,,A,,A,,A,,A,,A
20181,03641044,54,0,1,,A,,A,,A,,A,,A,12,D,,A,255,D,,A,,A,,A,,A,,A
20181,03641064,35,0,1,,A,,A,,A,,A,,A,,A,105,D,40,D,,A,,A,,A,,A,,A
20181,03641084,31,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641104,16,0,1,,A,,A,,A,,A,,A,,A,,A,240,D,,A,,A,,A,,A,,A
20181,03641114,31,0,1,,A,,A,,A,40,D,,A,,A,,A,30,D,,A,,A,,A,,A,,A
20181,03641134,59,0,1,,A,,A,,A,,A,,A,,A,,A,45,D,,A,,A,,A,,A,,A
20181,03641144,29,0,1,,A,,A,,A,,A,,A,,A,,A,15,D,,A,,A,,A,,A,,A
20181,03641154,75,0,1,,A,,A,,A,,A,,A,220,D,,A,650,D,,A,,A,,A,,A,,A
20181,03641194,26,0,1,,A,,A,,A,,A,,A,,A,,A,140,D,,A,,A,,A,,A,,A
20181,03641204,50,0,1,,A,,A,,A,100,D,,A,320,D,,A,250,D,,A,,A,,A,900,D,,A
20181,03641214,25,0,1,,A,,A,,A,,A,,A,,A,39,D,,A,,A,,A,,A,52,D,,A
20181,03641244,33,0,1,,A,,A,,A,,A,,A,,A,21,D,,A,,A,,A,,A,,A,,A
20181,03641264,31,0,1,,A,,A,,A,50,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641274,13,0,1,,A,,A,,A,,A,,A,,A,,A,75,D,,A,,A,,A,,A,,A
20181,03641284,55,0,1,,A,,A,,A,,A,,A,,A,36,F,220,F,,A,,A,,A,,A,,A
20181,03641384,19,0,1,,A,,A,,A,,A,,A,,A,,A,75,D,,A,,A,,A,,A,,A
20181,03641404,20,0,1,,A,,A,,A,,A,,A,,A,105,D,,A,,A,,A,,A,,A,,A
20181,03641414,33,0,1,20,D,,A,,A,30,D,35,D,,A,105,D,,A,,A,,A,,A,,A,,A
20181,03641424,15,0,1,30,D,,A,,A,,A,90,D,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641434,28,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641464,30,0,1,,A,,A,,A,,A,,A,,A,,A,120,D,,A,,A,,A,,A,,A
20181,03641474,67,0,1,,A,,A,,A,,A,,A,,A,,A,468,D,,A,,A,,A,,A,,A
20181,03641494,34,0,1,,A,,A,,A,,A,,A,,A,,A,20,D,,A,,A,,A,,A,,A
20181,03641504,30,0,1,,A,,A,,A,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641584,44,0,1,,A,,A,1,D,,A,,A,60,D,,A,90,D,,A,,A,,A,,A,,A
20181,03641644,12,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641654,52,0,1,,A,,A,,A,,A,,A,,A,,A,20,D,,A,,A,,A,,A,,A
20181,03641674,59,0,1,,A,,A,,A,130,D,,A,100,D,60,D,250,D,,A,,A,,A,150,D,,A
20181,03641684,23,0,1,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A
20181,03641714,40,0,1,,A,,A,,A,,A,,A,,A,,A,240,D,,A,,A,,A,,A,,A
20181,03641744,54,0,1,,A,,A,,A,20,D,,A,,A,,A,,A,,A,,A,,A,30,D,,A
20181,03641754,53,0,1,,A,,A,,A,,A,,A,,A,75,D,,A,,A,,A,,A,,A,,A
20181,03641814,42,0,1,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,,A,,A
20181,03641854,54,0,1,,A,,A,,A,,A,20,D,50,D,450,D,500,D,,A,,A,,A,,A,,A
20181,03641874,132,0,1,,A,,A,,A,27,D,,A,,A,,A,311,D,,A,,A,,A,330,D,,A
20181,03641914,41,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641934,32,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641944,14,0,1,,A,,A,,A,,A,120,D,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642004,30,0,1,,A,,A,,A,,A,,A,,A,,A,200,D,,A,,A,,A,,A,,A
20181,03642014,17,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642024,20,0,1,,A,,A,,A,,A,,A,,A,30,D,30,D,,A,,A,,A,,A,,A
20181,03642034,32,0,1,,A,,A,,A,,A,,A,130,D,,A,40,D,,A,,A,,A,,A,,A
20181,03642054,28,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642064,39,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20181,03642104,69,0,1,,A,,A,,A,,A,,A,,A,,A,90,D,,A,,A,,A,,A,,A
20181,03642114,15,0,1,33,D,,A,,A,,A,84,D,,A,24,D,,A,,A,,A,,A,,A,,A
20181,03642174,33,0,1,,A,,A,,A,,A,,A,5,D,,A,300,D,,A,,A,,A,,A,,A
20181,03642194,29,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20181,03642204,36,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642214,20,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20181,03642244,77,0,1,,A,,A,,A,,A,,A,,A,180,D,140,D,,A,,A,,A,,A,,A
20181,03642254,44,0,1,,A,,A,,A,17,D,,A,,A,24,D,45,D,,A,,A,,A,,A,,A
20181,03642294,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642304,41,0,1,,A,,A,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642314,23,0,1,,A,,A,,A,,A,,A,75,D,,A,,A,,A,,A,,A,,A,,A
20181,03642334,40,0,1,,A,,A,,A,,A,,A,5,D,,A,75,D,,A,,A,,A,,A,,A
20181,03642344,80,0,1,,A,,A,,A,,A,,A,32,D,30,D,135,D,,A,,A,,A,,A,,A
20181,03642354,33,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642394,42,0,1,,A,,A,,A,,A,,A,120,D,,A,330,D,,A,,A,,A,60,D,,A
20181,03642404,49,0,1,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A
20181,03642424,49,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20181,03642434,33,0,1,,A,,A,,A,50,D,,A,60,D,,A,150,D,,A,,A,,A,,A,,A
20181,03642444,28,0,1,,A,,A,,A,,A,,A,,A,,A,68,D,,A,,A,,A,,A,,A
20181,03642454,48,0,1,,A,,A,,A,,A,,A,50,D,,A,200,D,,A,,A,,A,,A,,A
20181,03642464,23,0,1,,A,,A,,A,,A,120,D,,A,,A,60,D,,A,,A,,A,,A,,A
20181,03642474,40,0,1,,A,,A,,A,,A,,A,,A,,A,170,D,,A,,A,,A,,A,,A
20181,03642484,26,0,1,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,,A,,A
20181,03642494,16,0,1,,A,,A,,A,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642504,67,0,1,,A,,A,60,D,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20181,03642524,6,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642534,20,0,1,,A,,A,,A,,A,,A,,A,,A,14,D,,A,,A,,A,,A,,A
20181,03642544,18,0,1,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,,A,,A
20181,03642564,70,0,1,,A,,A,,A,,A,,A,,A,,A,16,D,,A,,A,,A,,A,,A
20181,03642584,38,0,1,,A,,A,,A,,A,,A,,A,30,D,300,D,,A,,A,,A,,A,,A
20181,03642604,24,0,1,,A,,A,,A,,A,,A,,A,,A,36,D,,A,,A,,A,,A,,A
20181,03642614,73,0,1,,A,,A,20,D,,A,,A,,A,,A,150,D,,A,,A,,A,,A,,A
20181,03642694,12,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642714,60,0,1,,A,,A,,A,180,D,,A,45,D,,A,45,D,,A,,A,,A,,A,,A
20181,03642724,55,0,1,,A,,A,,A,,A,,A,,A,,A,300,D,,A,,A,,A,,A,,A
20181,03642734,63,0,1,,A,,A,,A,,A,,A,,A,,A,132,D,,A,,A,,A,,A,,A
20181,03642764,23,0,1,,A,,A,,A,,A,,A,,A,270,D,90,D,,A,,A,,A,,A,,A
20181,03642774,29,0,1,,A,,A,,A,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A
20181,03642784,63,0,1,,A,,A,,A,,A,,A,,A,,A,75,D,,A,,A,,A,,A,,A
20181,03642824,69,0,1,,A,,A,,A,,A,,A,25,D,30,D,100,D,,A,,A,,A,,A,,A
20181,03642884,27,0,1,100,D,,A,,A,,A,100,D,,A,,A,45,D,,A,,A,,A,,A,,A
20181,03642904,36,0,1,,A,,A,,A,30,D,,A,,A,18,D,60,D,,A,,A,,A,,A,2,D
20181,03642924,86,0,1,,A,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A,,A,,A
20181,03642944,27,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642984,33,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642994,49,0,1,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A
20181,03643004,30,0,1,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,,A,,A
20181,03643034,31,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643044,82,0,1,,A,,A,,A,,A,,A,,A,,A,300,D,,A,,A,,A,,A,,A
20181,03643054,53,0,1,,A,,A,,A,,A,,A,,A,,A,140,D,,A,,A,,A,,A,,A
20181,03643074,46,0,1,,A,,A,,A,,A,,A,,A,,A,300,D,,A,,A,,A,,A,,A
20181,03643144,42,0,1,,A,,A,,A,600,D,320,D,,A,,A,250,D,,A,,A,,A,,A,,A
20181,03643174,21,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643194,60,0,1,,A,,A,,A,50,D,,A,240,D,,A,200,D,,A,,A,,A,,A,,A
20181,03643214,12,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,520,D,,A
20181,03643234,56,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643254,43,0,1,,A,,A,,A,30,D,,A,,A,60,D,55,D,,A,,A,,A,,A,,A
20181,03643274,15,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643354,45,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643364,17,0,1,15,D,,A,,A,,A,35,D,36,D,3,D,,A,,A,,A,,A,,A,,A
20181,03643374,35,0,1,,A,,A,,A,,A,,A,255,D,,A,100,D,,A,,A,,A,,A,,A
20181,03643384,20,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643404,129,0,1,,A,,A,,A,,A,,A,200,D,,A,400,D,,A,,A,,A,,A,,A
20181,03643454,54,0,1,,A,,A,,A,,A,,A,,A,,A,225,D,,A,,A,,A,,A,,A
20181,03643534,20,0,1,,A,,A,,A,130,D,260,D,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643554,26,0,1,,A,,A,,A,,A,,A,60,D,,A,300,D,,A,,A,,A,,A,,A
20181,03643564,43,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643584,54,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643594,31,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20181,03643624,29,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643634,67,0,1,,A,,A,,A,,A,,A,120,D,90,D,50,D,,A,,A,,A,,A,,A
20181,03643644,42,0,1,,A,,A,,A,,A,,A,,A,,A,135,D,,A,,A,,A,,A,,A
20181,03643654,31,0,1,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,,A,,A
20181,03643674,34,0,1,,A,,A,,A,,A,,A,,A,,A,20,D,,A,,A,,A,,A,,A
20181,03643714,28,0,1,100,D,,A,,A,30,D,140,D,,A,,A,160,D,,A,,A,,A,540,D,,A
20181,03643734,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643744,33,0,1,,A,,A,,A,,A,,A,50,D,,A,122,D,,A,,A,,A,,A,,A
20181,03643764,94,0,1,,A,,A,,A,,A,,A,,A,,A,150,D,,A,,A,,A,,A,,A
20181,03643774,34,0,1,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A
20181,03643804,55,0,1,,A,,A,,A,20,D,,A,,A,,A,150,D,,A,,A,,A,,A,,A
20181,03643854,36,0,1,,A,,A,,A,,A,,A,,A,,A,15,D,,A,,A,,A,9,D,,A
20181,03643884,16,0,1,37,D,,A,,A,,A,93,D,,A,,A,90,F,,A,,A,,A,,A,,A
20181,03643894,43,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A,,A
20181,03643904,44,0,1,,A,,A,,A,,A,,A,,A,90,D,,A,,A,,A,,A,,A,,A
20181,03643914,35,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20181,03643924,12,0,1,,A,,A,,A,90,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643934,33,0,1,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A
20181,03643944,22,0,1,,A,,A,,A,,A,,A,,A,,A,150,D,,A,,A,,A,,A,,A
20181,03643974,21,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643994,13,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644004,19,0,1,,A,,A,,A,,A,,A,3,D,,A,216,D,,A,,A,,A,,A,,A
20181,03644014,16,0,1,,A,,A,,A,,A,,A,,A,,A,45,D,,A,,A,,A,,A,,A
20181,03644024,11,0,1,14,D,,A,,A,,A,66,D,,A,,A,50,D,,A,,A,,A,,A,,A
20181,03644034,68,0,1,,A,,A,,A,100,D,,A,100,D,,A,300,D,,A,,A,,A,,A,,A
20181,03644084,39,0,1,,A,,A,,A,,A,,A,,A,,A,70,D,,A,,A,,A,,A,,A
20181,03644124,54,0,1,,A,,A,,A,,A,,A,,A,,A,600,D,,A,,A,,A,,A,,A
20181,03644134,38,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644184,17,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644284,44,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644314,31,0,1,,A,,A,,A,,A,,A,,A,,A,300,D,,A,,A,,A,,A,,A
20181,03644324,62,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644344,25,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644364,10,0,1,67,D,,A,,A,,A,173,D,,A,,A,,A,,A,,A,,A,600,D,,A
20181,03644374,19,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644384,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644404,20,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644414,22,0,1,,A,,A,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644434,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644474,24,0,1,,A,,A,,A,,A,,A,,A,,A,210,D,,A,,A,,A,,A,,A
20181,03644494,17,0,1,,A,,A,,A,,A,120,D,,A,,A,30,D,,A,,A,,A,,A,,A
20181,03644534,36,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644544,37,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644554,8,0,1,,A,,A,,A,,A,72,D,,A,,A,,A,,A,,A,,A,143,D,,A
20181,03644574,22,0,1,,A,,A,,A,,A,,A,,A,,A,660,D,,A,,A,,A,,A,,A
20181,03644594,30,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644604,15,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644614,25,0,1,,A,,A,,A,36,D,78,D,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644654,61,0,1,,A,,A,,A,,A,,A,,A,180,D,487,D,,A,,A,,A,,A,,A
20181,03644674,30,0,1,,A,,A,,A,,A,,A,60,D,,A,240,D,,A,,A,,A,,A,,A
20181,03644724,45,0,1,,A,,A,,A,,A,,A,,A,9,D,80,D,,A,,A,,A,,A,,A
20181,03644734,37,0,1,,A,,A,,A,,A,,A,,A,108,D,20,D,,A,,A,,A,,A,,A
20181,03644754,20,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644794,53,0,1,,A,,A,,A,,A,,A,,A,,A,57,D,,A,,A,,A,,A,,A
20181,03644814,21,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644884,47,0,1,,A,,A,,A,,A,,A,100,D,,A,700,D,,A,,A,,A,,A,,A
20181,03644904,45,0,1,,A,,A,,A,,A,,A,,A,,A,700,D,,A,,A,,A,,A,,A
20181,03644924,13,0,1,100,D,,A,,A,260,D,140,D,,A,,A,240,D,,A,,A,78,D,4357,T,,A
20181,03644964,15,0,1,,A,,A,,A,,A,480,D,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644994,11,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03645034,39,0,1,,A,,A,,A,13,D,120,D,,A,150,D,,A,,A,,A,,A,,A,,A
20181,03645064,25,0,1,,A,,A,,A,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A
20181,03645094,49,0,1,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20181,03645114,50,0,1,,A,,A,,A,,A,,A,,A,,A,35,D,,A,,A,,A,,A,,A
20181,03645154,41,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03645164,59,0,1,,A,,A,,A,,A,,A,,A,,A,75,D,,A,,A,,A,,A,,A
20181,03645174,21,0,1,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A
20181,03645194,19,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03645204,19,0,1,,A,,A,,A,32,D,,A,,A,,A,,A,,A,,A,,A,832,D,,A
20181,03645234,15,0,1,,A,,A,,A,,A,,A,,A,,A,90,F,,A,,A,,A,,A,,A
20181,03645244,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03645254,33,0,1,,A,,A,,A,,A,,A,39,D,,A,247,D,,A,,A,,A,,A,,A
20181,03645264,80,0,1,,A,,A,,A,,A,,A,,A,18,D,350,D,,A,,A,,A,,A,,A
20181,03645284,55,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03645404,49,0,1,,A,,A,,A,,A,,A,,A,36,D,17,D,,A,,A,,A,,A,,A
